"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2382991","","","","0"
"2007","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2458231","","","","0"
"2008","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2527565","","","","0"
"2009","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2583525","","","","0"
"2010","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2634392","","","","0"
"2011","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2691049","","","","0"
"2012","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2726209","","","","0"
"2013","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2760814","","","","0"
"2014","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2786582","","","","0"
"2015","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2783350","","","","0"
"2016","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2734564","","","","0"
"2017","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2664892","","","","0"
"2018","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2580128","","","","0"
"2019","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2505044","","","","0"
"2020","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2450498","","","","0"
"2021","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2428937","","","","0"
"2022","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2423627","","","","0"
"2002","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","1749985","","","","0"
"2003","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","1848134","","","","0"
"2004","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","1932945","","","","0"
"2005","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2016359","","","","0"
"2006","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2087927","","","","0"
"2007","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2111816","","","","0"
"2008","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2152651","","","","0"
"2009","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2214122","","","","0"
"2010","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2286060","","","","0"
"2011","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2352899","","","","0"
"2012","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2431791","","","","0"
"2013","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2508170","","","","0"
"2014","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2566359","","","","0"
"2015","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2614668","","","","0"
"2016","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2665850","","","","0"
"2017","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2696684","","","","0"
"2018","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2728010","","","","0"
"2019","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2751672","","","","0"
"2020","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2745122","","","","0"
"2021","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2698869","","","","0"
"2022","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2635125","","","","0"
"2002","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1338550","","","","0"
"2003","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1401324","","","","0"
"2004","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1466759","","","","0"
"2005","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1531450","","","","0"
"2006","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1603066","","","","0"
"2007","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1716024","","","","0"
"2008","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1810185","","","","0"
"2009","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1894421","","","","0"
"2010","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1981245","","","","0"
"2011","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2049933","","","","0"
"2012","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2070138","","","","0"
"2013","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2110672","","","","0"
"2014","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2171609","","","","0"
"2015","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2243211","","","","0"
"2016","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2313160","","","","0"
"2017","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2388056","","","","0"
"2018","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2457486","","","","0"
"2019","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2514070","","","","0"
"2020","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2560211","","","","0"
"2021","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2605809","","","","0"
"2022","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2640008","","","","0"
"2002","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1140978","","","","0"
"2003","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1149341","","","","0"
"2004","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1171669","","","","0"
"2005","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1194243","","","","0"
"2006","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1235115","","","","0"
"2007","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1284639","","","","0"
"2008","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1344053","","","","0"
"2009","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1404615","","","","0"
"2010","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1464326","","","","0"
"2011","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1531965","","","","0"
"2012","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1644577","","","","0"
"2013","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1741051","","","","0"
"2014","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1822528","","","","0"
"2015","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1903004","","","","0"
"2016","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1969181","","","","0"
"2017","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1996039","","","","0"
"2018","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2036232","","","","0"
"2019","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2098142","","","","0"
"2020","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2167219","","","","0"
"2021","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2232897","","","","0"
"2022","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2308096","","","","0"
"2002","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1033246","","","","0"
"2003","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1040597","","","","0"
"2004","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1043574","","","","0"
"2005","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1043727","","","","0"
"2006","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1046477","","","","0"
"2007","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1049111","","","","0"
"2008","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1061520","","","","0"
"2009","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1086881","","","","0"
"2010","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1114688","","","","0"
"2011","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1152882","","","","0"
"2012","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1194047","","","","0"
"2013","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1248201","","","","0"
"2014","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1304022","","","","0"
"2015","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1357712","","","","0"
"2016","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1423187","","","","0"
"2017","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1533338","","","","0"
"2018","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1625616","","","","0"
"2019","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1708613","","","","0"
"2020","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1787882","","","","0"
"2021","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1853367","","","","0"
"2022","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1879942","","","","0"
"2002","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","828952","","","","0"
"2003","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","842325","","","","0"
"2004","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","851147","","","","0"
"2005","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","863445","","","","0"
"2006","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","877385","","","","0"
"2007","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","891561","","","","0"
"2008","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","901828","","","","0"
"2009","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","907845","","","","0"
"2010","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","913391","","","","0"
"2011","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","918943","","","","0"
"2012","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","925148","","","","0"
"2013","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","939265","","","","0"
"2014","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","961547","","","","0"
"2015","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","983024","","","","0"
"2016","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1014301","","","","0"
"2017","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1057690","","","","0"
"2018","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1109685","","","","0"
"2019","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1165334","","","","0"
"2020","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1219585","","","","0"
"2021","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1280982","","","","0"
"2022","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1381797","","","","0"
"2002","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","554264","","","","0"
"2003","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","583314","","","","0"
"2004","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","610824","","","","0"
"2005","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","628584","","","","0"
"2006","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","643366","","","","0"
"2007","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","650796","","","","0"
"2008","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","661899","","","","0"
"2009","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","671088","","","","0"
"2010","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","685077","","","","0"
"2011","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","700727","","","","0"
"2012","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","714387","","","","0"
"2013","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","723748","","","","0"
"2014","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","730784","","","","0"
"2015","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","735007","","","","0"
"2016","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","742579","","","","0"
"2017","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","751641","","","","0"
"2018","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","766499","","","","0"
"2019","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","789039","","","","0"
"2020","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","812743","","","","0"
"2021","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","842273","","","","0"
"2022","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","878761","","","","0"
"2002","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","291122","","","","0"
"2003","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","296507","","","","0"
"2004","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","303334","","","","0"
"2005","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","320488","","","","0"
"2006","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","344899","","","","0"
"2007","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","366994","","","","0"
"2008","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","386623","","","","0"
"2009","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","405608","","","","0"
"2010","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","417899","","","","0"
"2011","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","426507","","","","0"
"2012","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","437115","","","","0"
"2013","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","448403","","","","0"
"2014","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","457587","","","","0"
"2015","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","467165","","","","0"
"2016","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","480677","","","","0"
"2017","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","493687","","","","0"
"2018","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","503776","","","","0"
"2019","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","513205","","","","0"
"2020","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","519941","","","","0"
"2021","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","525901","","","","0"
"2022","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","530078","","","","0"
"2002","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","111019","","","","0"
"2003","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","117157","","","","0"
"2004","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","123295","","","","0"
"2005","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","129402","","","","0"
"2006","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","135099","","","","0"
"2007","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","139597","","","","0"
"2008","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","143812","","","","0"
"2009","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","149320","","","","0"
"2010","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","161696","","","","0"
"2011","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","175039","","","","0"
"2012","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","188036","","","","0"
"2013","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","198537","","","","0"
"2014","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","208837","","","","0"
"2015","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","214926","","","","0"
"2016","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","223290","","","","0"
"2017","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","229678","","","","0"
"2018","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","236509","","","","0"
"2019","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","243103","","","","0"
"2020","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","250128","","","","0"
"2021","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","257006","","","","0"
"2022","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","260752","","","","0"
"2002","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","26039","","","","0"
"2003","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","27544","","","","0"
"2004","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","28446","","","","0"
"2005","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","29915","","","","0"
"2006","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","32132","","","","0"
"2007","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","33998","","","","0"
"2008","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","36318","","","","0"
"2009","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","38612","","","","0"
"2010","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","41196","","","","0"
"2011","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","43138","","","","0"
"2012","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","44963","","","","0"
"2013","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","46722","","","","0"
"2014","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","49296","","","","0"
"2015","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","53488","","","","0"
"2016","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","59110","","","","0"
"2017","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","63937","","","","0"
"2018","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","67778","","","","0"
"2019","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","71993","","","","0"
"2020","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","75091","","","","0"
"2021","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","76817","","","","0"
"2022","Canada","2016A000011124","Both sexes","95 to 99 years","Persons","249","units","0","v31226530","1.1.132","77694","","","","0"
"2002","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","3764","","","","0"
"2003","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","3926","","","","0"
"2004","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","4060","","","","0"
"2005","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","4189","","","","0"
"2006","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","4433","","","","0"
"2007","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","4683","","","","0"
"2008","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","5063","","","","0"
"2009","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","5356","","","","0"
"2010","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","5742","","","","0"
"2011","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","6034","","","","0"
"2012","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","6664","","","","0"
"2013","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","7056","","","","0"
"2014","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","7725","","","","0"
"2015","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","7911","","","","0"
"2016","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","8643","","","","0"
"2017","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","9002","","","","0"
"2018","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","9457","","","","0"
"2019","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","10581","","","","0"
"2020","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","11815","","","","0"
"2021","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","12908","","","","0"
"2022","Canada","2016A000011124","Both sexes","100 years and over","Persons","249","units","0","v31226536","1.1.138","13485","","","","0"
"2002","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","37.6","","","","1"
"2003","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","38.0","","","","1"
"2004","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","38.3","","","","1"
"2005","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","38.6","","","","1"
"2006","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","38.9","","","","1"
"2007","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","39.2","","","","1"
"2008","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","39.4","","","","1"
"2009","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","39.6","","","","1"
"2010","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","39.8","","","","1"
"2011","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.0","","","","1"
"2012","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.1","","","","1"
