"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1801934","","","","0"
"2008","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1790489","","","","0"
"2009","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791787","","","","0"
"2010","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791169","","","","0"
"2011","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1810914","","","","0"
"2012","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1847505","","","","0"
"2013","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1892730","","","","0"
"2014","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1931039","","","","0"
"2015","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1969492","","","","0"
"2016","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2003223","","","","0"
"2017","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2021564","","","","0"
"2018","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2033313","","","","0"
"2019","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2041278","","","","0"
"2020","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2046207","","","","0"
"2021","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2044619","","","","0"
"2022","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2062572","","","","0"
"2002","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114746","","","","0"
"2003","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2139150","","","","0"
"2004","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2141832","","","","0"
"2005","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2124530","","","","0"
"2006","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2096117","","","","0"
"2007","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2065911","","","","0"
"2008","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2032298","","","","0"
"2009","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1996736","","","","0"
"2010","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1959099","","","","0"
"2011","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1918095","","","","0"
"2012","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895451","","","","0"
"2013","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1886668","","","","0"
"2014","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1893264","","","","0"
"2015","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895463","","","","0"
"2016","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1919810","","","","0"
"2017","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1948681","","","","0"
"2018","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1992389","","","","0"
"2019","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2033308","","","","0"
"2020","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2073456","","","","0"
"2021","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2091774","","","","0"
"2022","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2126905","","","","0"
"2002","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2128264","","","","0"
"2003","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2129918","","","","0"
"2004","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2144151","","","","0"
"2005","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2176159","","","","0"
"2006","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2211529","","","","0"
"2007","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2232083","","","","0"
"2008","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2250947","","","","0"
"2009","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2255781","","","","0"
"2010","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2248876","","","","0"
"2011","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2236197","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2197641","","","","0"
"2013","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2154873","","","","0"
"2014","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2118889","","","","0"
"2015","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2092961","","","","0"
"2016","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2083843","","","","0"
"2017","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2090598","","","","0"
"2018","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2106395","","","","0"
"2019","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2114650","","","","0"
"2020","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2100625","","","","0"
"2021","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2057182","","","","0"
"2022","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2124972","","","","0"
"2002","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2142288","","","","0"
"2003","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2178032","","","","0"
"2004","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2210969","","","","0"
"2005","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2234320","","","","0"
"2006","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2251740","","","","0"
"2007","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2261331","","","","0"
"2008","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2264625","","","","0"
"2009","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2286001","","","","0"
"2010","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2321972","","","","0"
"2011","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2352455","","","","0"
"2012","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2389961","","","","0"
"2013","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2416433","","","","0"
"2014","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2423034","","","","0"
"2015","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2395623","","","","0"
"2016","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2387191","","","","0"
"2017","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2401419","","","","0"
"2018","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2436459","","","","0"
"2019","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2475503","","","","0"
"2020","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2480898","","","","0"
"2021","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2450234","","","","0"
"2022","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2520278","","","","0"
"2002","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2085672","","","","0"
"2003","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2098710","","","","0"
"2004","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2125033","","","","0"
"2005","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2151097","","","","0"
"2006","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2184676","","","","0"
"2007","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2224627","","","","0"
"2008","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2272852","","","","0"
"2009","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2321928","","","","0"
"2010","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2357383","","","","0"
"2011","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2368297","","","","0"
"2012","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2383927","","","","0"
"2013","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2393577","","","","0"
"2014","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2413496","","","","0"
"2015","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2429557","","","","0"
"2016","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2466106","","","","0"
"2017","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2513657","","","","0"
"2018","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2575089","","","","0"
"2019","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2626204","","","","0"
"2020","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2643411","","","","0"
"2021","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2636004","","","","0"
"2022","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2703647","","","","0"
"2002","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2231502","","","","0"
"2003","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2215051","","","","0"
"2004","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2194700","","","","0"
"2005","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2182110","","","","0"
"2006","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2171257","","","","0"
"2007","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2182174","","","","0"
"2008","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2207388","","","","0"
"2009","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2245345","","","","0"
"2010","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2283236","","","","0"
"2011","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2326256","","","","0"
"2012","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2368073","","","","0"
"2013","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2411649","","","","0"
"2014","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2447837","","","","0"
"2015","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2460501","","","","0"
"2016","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2488660","","","","0"
"2017","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2515087","","","","0"
"2018","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2553299","","","","0"
"2019","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2605394","","","","0"
"2020","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2660858","","","","0"
"2021","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2693643","","","","0"
"2022","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2782998","","","","0"
"2002","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2578328","","","","0"
"2003","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2490282","","","","0"
"2004","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2407296","","","","0"
"2005","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2346332","","","","0"
"2006","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2322767","","","","0"
"2007","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2307137","","","","0"
"2008","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2299965","","","","0"
"2009","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2288056","","","","0"
"2010","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2282303","","","","0"
"2011","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2272425","","","","0"
"2012","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2291997","","","","0"
"2013","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2317467","","","","0"
"2014","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2349272","","","","0"
"2015","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2371229","","","","0"
"2016","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2410025","","","","0"
"2017","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2455926","","","","0"
"2018","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2517339","","","","0"
"2019","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2581046","","","","0"
"2020","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2629217","","","","0"
"2021","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2662756","","","","0"
"2022","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2718849","","","","0"
"2002","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2691677","","","","0"
"2003","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2725756","","","","0"
"2004","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2754756","","","","0"
"2005","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2760218","","","","0"
"2006","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2715591","","","","0"
"2007","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2641231","","","","0"
"2008","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2548685","","","","0"
"2009","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2465531","","","","0"
"2010","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2403059","","","","0"
"2011","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2385781","","","","0"
"2012","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2381473","","","","0"
"2013","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2374735","","","","0"
"2014","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2362412","","","","0"
"2015","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2349922","","","","0"
"2016","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2342178","","","","0"
"2017","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2353730","","","","0"
"2018","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2381576","","","","0"
"2019","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2421889","","","","0"
"2020","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2463031","","","","0"
"2021","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2506925","","","","0"
"2022","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2573624","","","","0"
"2002","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2456165","","","","0"
"2003","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2524286","","","","0"
"2004","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2574828","","","","0"
"2005","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2620433","","","","0"
"2006","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2672563","","","","0"
"2007","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2711672","","","","0"
"2008","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2754800","","","","0"
"2009","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2784706","","","","0"
"2010","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2780175","","","","0"
"2011","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2719980","","","","0"
"2012","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2657781","","","","0"
"2013","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2577529","","","","0"
"2014","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2503611","","","","0"
"2015","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2445816","","","","0"
"2016","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2431118","","","","0"
"2017","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2418092","","","","0"
"2018","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2407566","","","","0"
"2019","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2398378","","","","0"
"2020","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2390358","","","","0"
"2021","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2382520","","","","0"
"2022","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2405593","","","","0"
"2002","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2141472","","","","0"
"2003","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2179741","","","","0"
"2004","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2240957","","","","0"
"2005","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2313725","","","","0"
