"REF_DATE","GEO","DGUID","Base year","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.30","","","","2"
"2021","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.53","","","","2"
"2022","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","6.96","","","","2"
"2023","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.12","","","","2"
"2017","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.54","","","","2"
"2018","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.68","","","","2"
"2019","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.73","","","","2"
"2020","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.88","","","","2"
"2021","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.89","","","","2"
"2022","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.91","","","","2"
"2023","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","2.03","","","","2"
"2017","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","12.28","","","","2"
"2018","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","13.03","","","","2"
"2019","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","13.50","","","","2"
"2020","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","25.11","","","","2"
"2021","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","25.92","","","","2"
"2022","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","23.79","","","","2"
"2023","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","20.80","","","","2"
"2017","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.18","","","","2"
"2018","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.46","","","","2"
"2019","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.63","","","","2"
"2020","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.16","","","","2"
"2021","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.35","","","","2"
"2022","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.51","","","","2"
"2023","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.63","","","","2"


