"REF_DATE","GEO","DGUID","Base year","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.56","","","","2"
"2017","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.45","","","","2"
"2018","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.34","","","","2"
"2019","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.32","","","","2"
"2020","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.49","","","","2"
"2021","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.55","","","","2"
"2022","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.60","","","","2"
"2023","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.75","","","","2"
"2017","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.52","","","","2"
"2018","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.47","","","","2"
"2019","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.43","","","","2"
"2020","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.18","","","","2"
"2021","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.21","","","","2"
"2022","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.21","","","","2"
"2023","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.24","","","","2"
"2017","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.30","","","","2"
"2018","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.25","","","","2"
"2019","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.25","","","","2"
"2020","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.09","","","","2"
"2021","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.10","","","","2"
"2022","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.11","","","","2"
"2023","Trois-Rivières, Quebec","2011S0503442","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068515","8.5.1","0.14","","","","2"
"2017","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","5.33","","","","2"
"2018","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","5.16","","","","2"
"2019","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","5.43","","","","2"
"2020","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","3.51","","","","2"
"2021","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","3.75","","","","2"
"2022","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","3.88","","","","2"
"2023","Montréal, Quebec","2011S0503462","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068516","9.5.1","3.87","","","","2"
"2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.78","","","","2"
"2018","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.67","","","","2"
"2019","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.72","","","","2"
"2020","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.39","","","","2"
"2021","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.45","","","","2"
"2022","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.52","","","","2"
"2023","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068517","10.5.1","0.50","","","","2"
"2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","4.42","","","","2"
"2018","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","4.65","","","","2"
"2019","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","5.38","","","","2"
"2020","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","4.42","","","","2"
"2021","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","5.68","","","","2"
"2022","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","7.02","","","","2"
"2023","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068518","11.5.1","7.77","","","","2"
"2017","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","2.44","","","","2"
"2018","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","2.51","","","","2"
"2019","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","2.77","","","","2"
"2020","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","1.37","","","","2"
"2021","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","1.84","","","","2"
"2022","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","3.41","","","","2"
"2023","Oshawa, Ontario","2011S0503532","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068519","12.5.1","3.04","","","","2"
"2017","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","25.49","","","","2"
"2018","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","27.91","","","","2"
"2019","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","29.06","","","","2"
"2020","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","29.10","","","","2"
"2021","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","24.32","","","","2"
"2022","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","21.69","","","","2"
"2023","Toronto, Ontario","2011S0503535","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068520","13.5.1","21.75","","","","2"
"2017","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.85","","","","2"
"2018","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.68","","","","2"
"2019","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.55","","","","2"
"2020","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.06","","","","2"
"2021","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.25","","","","2"
"2022","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.07","","","","2"
"2023","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","1.86","","","","2"
"2017","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","1.56","","","","2"
"2018","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","1.94","","","","2"
"2019","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.19","","","","2"
"2020","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.09","","","","2"
"2021","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.52","","","","2"
"2022","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.68","","","","2"
"2023","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.89","","","","2"
"2017","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","1.75","","","","2"
"2018","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.17","","","","2"
"2019","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.22","","","","2"
"2020","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.15","","","","2"
"2021","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.56","","","","2"
"2022","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","3.13","","","","2"
"2023","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","3.08","","","","2"
"2017","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.60","","","","2"
"2018","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.68","","","","2"
"2019","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.64","","","","2"
"2020","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.68","","","","2"
"2021","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.80","","","","2"
"2022","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.72","","","","2"
"2023","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.70","","","","2"
"2017","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.14","","","","2"
"2018","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.38","","","","2"
"2019","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.80","","","","2"
"2020","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.08","","","","2"
"2021","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.33","","","","2"
"2022","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","3.13","","","","2"
"2023","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","3.54","","","","2"
"2017","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.15","","","","2"
"2018","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.34","","","","2"
"2019","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.35","","","","2"
"2020","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.04","","","","2"
"2021","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.08","","","","2"
"2022","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.30","","","","2"
"2023","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.39","","","","2"
"2017","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.32","","","","2"
"2018","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.30","","","","2"
"2019","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.18","","","","2"
"2020","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.13","","","","2"
"2021","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.14","","","","2"
"2022","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.18","","","","2"
"2023","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.17","","","","2"
"2017","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.73","","","","2"
"2018","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.72","","","","2"
"2019","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.93","","","","2"
"2020","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.22","","","","2"
"2021","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.35","","","","2"
"2022","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.38","","","","2"
"2023","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.19","","","","2"
"2017","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","1.25","","","","2"
"2018","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","1.02","","","","2"
"2019","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.88","","","","2"
"2020","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.72","","","","2"
"2021","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.57","","","","2"
"2022","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.52","","","","2"
"2023","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.50","","","","2"
"2017","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","2.23","","","","2"
"2018","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.83","","","","2"
"2019","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.48","","","","2"
"2020","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.16","","","","2"
"2021","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.02","","","","2"
"2022","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","0.99","","","","2"
"2023","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.04","","","","2"
"2017","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","11.56","","","","2"
"2018","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","9.52","","","","2"
"2019","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","8.15","","","","2"
"2020","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","7.83","","","","2"
"2021","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","7.87","","","","2"
"2022","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","8.40","","","","2"
"2023","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","9.81","","","","2"
"2017","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","13.09","","","","2"
"2018","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","11.69","","","","2"
"2019","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","9.96","","","","2"
